"hostname","phase","description","last_modified","modified_by","installed","updated","serialnumber","location","hardware","ansible_group"
"cn0035","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0036","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0037","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0038","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0039","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0040","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0041","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0042","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0043","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0044","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0045","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0046","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0047","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0048","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0049","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0050","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0051","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0052","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0053","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0054","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0055","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0056","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0057","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0058","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0059","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0060","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0061","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0062","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0063","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0064","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0065","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0066","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0067","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0068","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0069","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0070","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0071","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0072","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0073","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0074","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0075","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0076","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0077","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0078","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0079","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0080","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0081","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0082","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0083","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0084","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0085","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0086","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0087","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0088","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0089","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0090","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0091","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0092","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0093","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0094","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0095","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0096","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0097","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0098","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0099","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0100","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0101","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0102","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0103","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0104","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0105","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0106","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0107","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0108","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0109","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0110","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0111","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0112","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0113","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0114","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0115","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0116","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0117","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0118","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0119","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0120","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0121","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0122","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0123","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0124","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0125","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0126","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0127","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0128","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0129","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0130","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0131","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0132","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0133","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0134","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0135","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0136","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0137","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0138","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0139","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0140","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0141","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0142","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0143","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0144","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0145","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0146","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0147","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0148","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0149","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0150","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
"cn0151","phase1","","2017-07-17 14:13:28","root","1970-01-01 00:00:00","1970-01-01 00:00:00","NULL","None","x2650 core16 cpu32 g128 ssd800 eth10g",""
