"interface_id","hostname","private_name","primary","interface","designation","mac","ipv4","ipv6"
"75","nsd52","NULL","0","NULL","","NULL","10.2.31.72","NULL"
"76","nsd53","NULL","0","NULL","","NULL","10.2.31.73","NULL"
"77","nsd54","NULL","0","NULL","","NULL","10.2.31.74","NULL"
"78","nsd55","NULL","0","NULL","","NULL","10.2.31.75","NULL"
"79","nsd56","NULL","0","NULL","","NULL","10.2.31.76","NULL"
"80","nsd57","NULL","0","NULL","","NULL","10.2.31.77","NULL"
"81","nsd58","NULL","0","NULL","","NULL","10.2.31.78","NULL"
"82","nsd61","NULL","0","NULL","","NULL","10.2.31.81","NULL"
"83","nsd62","NULL","0","NULL","","NULL","10.2.31.82","NULL"
"84","nsd63","NULL","0","NULL","","NULL","10.2.31.83","NULL"
"85","nsd64","NULL","0","NULL","","NULL","10.2.31.84","NULL"
"86","nsd65","NULL","0","NULL","","NULL","10.2.31.85","NULL"
"87","nsd66","NULL","0","NULL","","NULL","10.2.31.86","NULL"
"88","nsd67","NULL","0","NULL","","NULL","10.2.31.87","NULL"
"89","nsd68","NULL","0","NULL","","NULL","10.2.31.88","NULL"
"90","nsd71","NULL","0","NULL","","NULL","10.2.31.91","NULL"
"91","nsd72","NULL","0","NULL","","NULL","10.2.31.92","NULL"
"92","nsd73","NULL","0","NULL","","NULL","10.2.31.93","NULL"
"93","nsd74","NULL","0","NULL","","NULL","10.2.31.94","NULL"
"94","nsd75","NULL","0","NULL","","NULL","10.2.31.95","NULL"
"95","nsd76","NULL","0","NULL","","NULL","10.2.31.96","NULL"
"96","lager1","NULL","0","NULL","","NULL","10.1.126.1","NULL"
"97","lager2","NULL","0","NULL","","NULL","10.1.126.2","NULL"
"98","lager3","NULL","0","NULL","","NULL","10.1.126.3","NULL"
"99","lager4","NULL","0","NULL","","NULL","10.1.126.4","NULL"
"100","lager5","NULL","0","NULL","","NULL","10.1.126.5","NULL"
"101","lager6","NULL","0","NULL","","NULL","10.1.126.6","NULL"
"102","lager7","NULL","0","NULL","","NULL","10.1.126.7","NULL"
"103","lager8","NULL","0","NULL","","NULL","10.1.126.8","NULL"
"104","lager9","NULL","0","NULL","","NULL","10.1.126.9","NULL"
"105","lager10","NULL","0","NULL","","NULL","10.1.126.10","NULL"
"106","lager11","NULL","0","NULL","","NULL","10.1.126.11","NULL"
"107","lager12","NULL","0","NULL","","NULL","10.1.126.12","NULL"
"108","lager13","NULL","0","NULL","","NULL","10.1.126.13","NULL"
"109","lager14","NULL","0","NULL","","NULL","10.1.126.14","NULL"
"110","lager15","NULL","0","NULL","","NULL","10.1.126.15","NULL"
"111","lager16","NULL","0","NULL","","NULL","10.1.126.16","NULL"
"112","lager17","NULL","0","NULL","","NULL","10.1.126.17","NULL"
"113","lager18","NULL","0","NULL","","NULL","10.1.126.18","NULL"
"114","lager25","NULL","0","NULL","","NULL","10.1.126.25","NULL"
"115","lager26","NULL","0","NULL","","NULL","10.1.126.26","NULL"
"116","lager1-adm","NULL","0","NULL","","NULL","10.1.126.101","NULL"
"117","lager2-adm","NULL","0","NULL","","NULL","10.1.126.102","NULL"
"118","lager3-adm","NULL","0","NULL","","NULL","10.1.126.103","NULL"
"119","lager4-adm","NULL","0","NULL","","NULL","10.1.126.104","NULL"
"120","lager5-adm","NULL","0","NULL","","NULL","10.1.126.105","NULL"
"121","lager6-adm","NULL","0","NULL","","NULL","10.1.126.106","NULL"
"122","lager7-adm","NULL","0","NULL","","NULL","10.1.126.107","NULL"
"123","lager8-adm","NULL","0","NULL","","NULL","10.1.126.108","NULL"
"124","lager17-adm","NULL","0","NULL","","NULL","10.1.126.117","NULL"
"125","lager18-adm","NULL","0","NULL","","NULL","10.1.126.118","NULL"
"126","lager-adm","NULL","0","NULL","","NULL","10.1.126.111","NULL"
"127","os1access1","NULL","0","NULL","exthost","NULL","10.1.211.30","NULL"
"128","os2access1","NULL","0","NULL","exthost","NULL","10.1.212.30","NULL"
"129","os3access1","NULL","0","NULL","exthost","NULL","10.1.213.30","NULL"
"130","badmin","badmin-e0","0","eth0","e0","00:16:3E:11:11:11","10.1.201.11","NULL"
"131","badmin","badmin-e1","0","eth1","e1","00:16:3E:11:11:12","128.231.2.38","NULL"
"132","felix","felix-e0","0","eth4","e0","38:EA:A7:12:8C:A0","10.1.220.220","NULL"
"133","felix","felix-e1","0","eth5","e1","38:EA:A7:12:8C:A1","128.231.2.220","NULL"
"134","mekong","mekong-e0","0","eth0","e0","14:58:D0:B3:F5:28","10.1.200.245","NULL"
"135","mekong","mekong-e1","0","eth1","e1","14:58:D0:B3:F5:2C","128.231.2.245","NULL"
"136","danube","danube-e0","0","eth0","e0","14:58:D0:B3:F5:18","10.1.200.246","NULL"
"137","danube","danube-e1","0","eth1","e1","14:58:D0:B3:F5:1C","128.231.2.246","NULL"
"138","danube","danube-ilo","0","iLO4","ilo","9C:B6:54:B7:F5:02","10.4.200.246","NULL"
"139","mohave","mohave-e0","0","eth0","e0","14:58:D0:B3:F5:30","10.1.200.247","NULL"
"140","mohave","mohave-e1","0","eth1","e1","14:58:D0:B3:F5:34","128.231.2.247","NULL"
"141","gobi","gobi-e0","0","eth0","e0","14:58:D0:B3:F5:20","10.1.200.248","NULL"
"142","gobi","gobi-e1","0","eth1","e1","14:58:D0:B3:F5:24","128.231.2.248","NULL"
"143","genome","NULL","0","NULL","exthost","NULL","128.231.2.154","NULL"
"144","hpcgenomebrowser","NULL","0","NULL","exthost","NULL","128.231.2.154","NULL"
"145","hpcgenomebrowser-e0","NULL","0","NULL","exthost","NULL","10.1.201.154","NULL"
"146","remix","NULL","0","NULL","exthost","NULL","10.1.130.129","NULL"
"147","helixmail-backup","NULL","0","NULL","exthost","NULL","10.1.130.130","NULL"
"148","db102","NULL","0","NULL","exthost","NULL","10.1.128.34","NULL"
"150","media01","NULL","0","NULL","exthost","NULL","10.1.128.43","NULL"
"151","media02","NULL","0","NULL","exthost","NULL","10.1.128.44","NULL"
"152","media04","NULL","0","NULL","exthost","NULL","10.1.128.46","NULL"
"153","sofia","sofia-e0","0","eth4","e0","40:A8:F0:B3:96:68","10.1.128.102","NULL"
"154","sofia","sofia-e1","0","eth5","e1","40:A8:F0:B3:96:6C","128.231.2.104","NULL"
"155","plovdiv","plovdiv-e0","0","eth4","e0","40:A8:F0:B3:96:F0","10.1.128.103","NULL"
"156","plovdiv","plovdiv-e1","0","eth5","e1","40:A8:F0:B3:96:F4","128.231.2.106","NULL"
"157","yambol","yambol-e0","0","eth0","e0","40:A8:F0:B3:86:E8","10.1.128.105","NULL"
"158","yambol","yambol-e1","0","eth1","e1","40:A8:F0:B3:86:EC","128.231.2.102","NULL"
"159","varna","varna-e0","0","eth0","e0","40:A8:F0:B3:26:18","10.1.128.106","NULL"
"160","varna","varna-e1","0","eth1","e1","40:A8:F0:B3:26:1C","128.231.2.103","NULL"
"161","helixmail","NULL","0","NULL","exthost","NULL","192.168.255.2","NULL"
"162","biowulf","biowulf-e0","0","eth0","e0","00:16:3E:AA:BC:CC","10.1.201.9","NULL"
"163","biowulf","biowulf-e1","0","eth1","e1","00:16:3E:AA:BC:CD","128.231.2.9","NULL"
"164","p1014","p1014-e0","0","eth0","e0","E4:1F:13:22:E5:B0","10.1.3.246","NULL"
"165","p1014","p1014-e1","0","eth1","e1","E4:1F:13:22:E5:B1","128.231.2.17","NULL"
"166","p1014","p1014-ilo","0","iLO4","ilo","70:10:6F:4A:37:CA","10.4.3.246","NULL"
"167","p1015","p1015-e0","0","eth0","e0","E4:1F:13:22:E6:04","10.1.3.247","NULL"
"168","p1015","p1015-ilo","0","iLO4","ilo","70:10:6F:4A:39:0A","10.4.3.247","NULL"
"169","p1016","p1016-e0","0","eth0","e0","E4:1F:13:22:E6:82","10.1.3.248","NULL"
